                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1863,                 1.2905,                 1.2441,                0.69475,                0.56335,                0.63351,                0.43104,                 1.2072,                 1.1681,                 1.2198,             0.00083665,             0.00083665,             0.00083665
                     35,                 1.1863,                 1.2846,                 1.2453,                 0.7054,                  0.553,                0.63478,                0.43337,                 1.2062,                 1.1634,                 1.2212,              0.0008317,              0.0008317,              0.0008317
                     36,                 1.1714,                 1.2805,                 1.2421,                0.68717,                  0.569,                0.63742,                0.43464,                 1.2047,                 1.1603,                 1.2197,             0.00082675,             0.00082675,             0.00082675
                     37,                 1.1726,                 1.2609,                 1.2335,                0.69708,                0.56255,                0.63988,                0.43638,                 1.1949,                 1.1513,                 1.2107,              0.0008218,              0.0008218,              0.0008218
                     38,                 1.1785,                 1.2685,                 1.2402,                0.69812,                0.56495,                0.64082,                0.43903,                  1.193,                 1.1461,                 1.2051,             0.00081685,             0.00081685,             0.00081685
                     39,                 1.1688,                 1.2547,                 1.2352,                  0.701,                0.56172,                 0.6441,                0.44222,                 1.1895,                 1.1425,                 1.2052,              0.0008119,              0.0008119,              0.0008119
                     40,                 1.1679,                 1.2538,                 1.2341,                0.71135,                0.56517,                0.64336,                0.44146,                 1.1916,                 1.1435,                  1.207,             0.00080695,             0.00080695,             0.00080695
                     41,                 1.1646,                 1.2475,                 1.2304,                0.69911,                0.57052,                0.64528,                0.44288,                 1.1858,                 1.1318,                 1.2032,               0.000802,               0.000802,               0.000802
                     42,                 1.1623,                 1.2428,                  1.229,                0.70748,                0.57294,                0.64916,                0.44551,                 1.1835,                 1.1256,                 1.2045,             0.00079705,             0.00079705,             0.00079705
                     43,                 1.1656,                 1.2424,                 1.2326,                0.70324,                0.57579,                0.64857,                0.44479,                 1.1865,                 1.1284,                 1.2056,              0.0007921,              0.0007921,              0.0007921
                     44,                 1.1615,                 1.2483,                 1.2353,                0.70794,                0.56831,                0.64952,                0.44495,                 1.1822,                 1.1261,                 1.2046,             0.00078715,             0.00078715,             0.00078715
                     45,                 1.1578,                 1.2282,                 1.2278,                0.70922,                 0.5684,                0.64837,                0.44626,                  1.182,                 1.1234,                 1.2003,              0.0007822,              0.0007822,              0.0007822
                     46,                 1.1578,                 1.2269,                 1.2259,                0.72353,                0.56605,                0.65286,                0.44926,                 1.1789,                 1.1166,                 1.2011,             0.00077725,             0.00077725,             0.00077725
                     47,                 1.1549,                 1.2255,                 1.2229,                0.71097,                0.57519,                0.65375,                0.45039,                 1.1805,                 1.1119,                 1.1995,              0.0007723,              0.0007723,              0.0007723
                     48,                 1.1536,                 1.2148,                 1.2222,                0.71732,                0.57481,                0.65562,                0.45069,                  1.177,                 1.1087,                 1.1973,             0.00076735,             0.00076735,             0.00076735
                     49,                 1.1553,                 1.2204,                 1.2236,                 0.7227,                0.57193,                0.65678,                 0.4524,                 1.1752,                 1.1048,                 1.1951,              0.0007624,              0.0007624,              0.0007624
                     50,                 1.1503,                 1.2165,                 1.2199,                0.72372,                0.57455,                 0.6582,                0.45351,                 1.1752,                 1.1057,                 1.1958,             0.00075745,             0.00075745,             0.00075745
                     51,                 1.1497,                 1.2139,                 1.2179,                0.71356,                0.57949,                0.65772,                0.45348,                 1.1756,                 1.1055,                 1.1953,              0.0007525,              0.0007525,              0.0007525
                     52,                 1.1422,                 1.1991,                 1.2183,                 0.7088,                 0.5777,                0.65535,                0.45147,                 1.1761,                 1.1036,                 1.1949,             0.00074755,             0.00074755,             0.00074755
                     53,                 1.1457,                 1.1959,                 1.2167,                 0.7161,                0.57175,                 0.6553,                0.45173,                 1.1752,                  1.102,                 1.1966,              0.0007426,              0.0007426,              0.0007426
                     54,                 1.1394,                 1.1993,                 1.2169,                0.72231,                0.57235,                  0.655,                0.45272,                 1.1725,                  1.101,                 1.1929,             0.00073765,             0.00073765,             0.00073765
                     55,                 1.1409,                 1.1902,                 1.2146,                0.72592,                0.57059,                0.65763,                0.45465,                 1.1689,                 1.0974,                 1.1898,              0.0007327,              0.0007327,              0.0007327
                     56,                 1.1391,                 1.1959,                 1.2131,                0.72439,                0.57196,                0.65811,                0.45553,                 1.1677,                 1.0954,                 1.1903,             0.00072775,             0.00072775,             0.00072775
                     57,                 1.1354,                  1.195,                  1.212,                0.72154,                0.57868,                0.65991,                0.45673,                 1.1665,                 1.0917,                 1.1897,              0.0007228,              0.0007228,              0.0007228
                     58,                 1.1286,                 1.1811,                 1.2096,                0.72312,                0.58212,                 0.6613,                0.45831,                 1.1638,                 1.0881,                 1.1877,             0.00071785,             0.00071785,             0.00071785
                     59,                  1.132,                 1.1746,                 1.2105,                0.73667,                0.57196,                0.66135,                0.45849,                 1.1639,                 1.0881,                 1.1876,              0.0007129,              0.0007129,              0.0007129
                     60,                 1.1319,                 1.1651,                 1.2065,                0.72343,                 0.5805,                0.66174,                0.45915,                 1.1643,                 1.0866,                 1.1872,             0.00070795,             0.00070795,             0.00070795
                     61,                 1.1291,                 1.1707,                 1.2071,                0.72618,                0.57904,                0.66194,                0.45946,                 1.1629,                  1.085,                 1.1867,               0.000703,               0.000703,               0.000703
                     62,                 1.1286,                 1.1659,                 1.2085,                0.72463,                0.57868,                0.66255,                0.45969,                 1.1628,                 1.0837,                 1.1875,             0.00069805,             0.00069805,             0.00069805
                     63,                 1.1216,                 1.1572,                 1.2022,                0.72244,                0.58074,                0.66245,                0.46045,                 1.1621,                 1.0832,                 1.1876,              0.0006931,              0.0006931,              0.0006931
                     64,                 1.1254,                 1.1603,                 1.2026,                0.71841,                0.58175,                0.66314,                0.46123,                 1.1618,                 1.0827,                  1.187,             0.00068815,             0.00068815,             0.00068815
                     65,                 1.1183,                 1.1521,                  1.198,                 0.7189,                0.58498,                0.66346,                0.46161,                 1.1603,                 1.0817,                  1.186,              0.0006832,              0.0006832,              0.0006832
                     66,                  1.122,                 1.1603,                 1.2016,                0.72702,                0.58059,                0.66388,                 0.4615,                 1.1604,                 1.0794,                 1.1862,             0.00067825,             0.00067825,             0.00067825
                     67,                 1.1266,                 1.1583,                 1.2057,                0.72995,                0.57945,                0.66389,                0.46143,                 1.1597,                 1.0776,                 1.1856,              0.0006733,              0.0006733,              0.0006733
                     68,                 1.1154,                 1.1518,                 1.1993,                  0.733,                0.57844,                0.66472,                0.46183,                 1.1587,                 1.0766,                 1.1848,             0.00066835,             0.00066835,             0.00066835
                     69,                 1.1225,                 1.1503,                 1.1997,                0.73113,                0.58144,                0.66435,                0.46207,                 1.1591,                 1.0761,                 1.1854,              0.0006634,              0.0006634,              0.0006634
                     70,                 1.1171,                 1.1394,                 1.1976,                0.72777,                0.58172,                0.66444,                0.46232,                 1.1573,                 1.0755,                 1.1843,             0.00065845,             0.00065845,             0.00065845
                     71,                 1.1104,                 1.1366,                 1.1953,                0.72737,                0.58204,                0.66458,                 0.4627,                 1.1558,                 1.0742,                 1.1833,              0.0006535,              0.0006535,              0.0006535
                     72,                 1.1156,                 1.1362,                 1.1955,                0.73016,                0.58165,                0.66476,                0.46307,                  1.155,                 1.0728,                 1.1824,             0.00064855,             0.00064855,             0.00064855
                     73,                 1.1082,                 1.1352,                 1.1913,                0.73333,                0.58104,                0.66534,                0.46341,                 1.1542,                 1.0713,                 1.1817,              0.0006436,              0.0006436,              0.0006436
                     74,                   1.11,                  1.132,                 1.1871,                 0.7344,                0.58035,                0.66607,                0.46385,                 1.1529,                 1.0698,                 1.1805,             0.00063865,             0.00063865,             0.00063865
